@relation MarketData

@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute volume numeric
@attribute class {HOLD,BUY,SELL}

@data
0.022743,-0.055989,-0.022573,-0.095339,-1.211348,HOLD
-0.094833,-0.143694,-0.057263,-0.065252,-1.072078,HOLD
-0.067428,-0.081306,-0.038183,-0.009502,-0.593141,HOLD
-0.00643,-0.044235,0.052009,0.014391,-0.697681,HOLD
0.017439,-0.042427,0.020788,-0.022776,-0.397954,HOLD
-0.022342,-0.095773,-0.03298,-0.094454,-0.879322,HOLD
-0.092181,-0.150927,-0.053794,-0.105958,-0.868556,HOLD
-0.101905,-0.155448,-0.052059,-0.098879,-0.645932,HOLD
-0.100137,-0.152736,-0.071138,-0.097109,-0.368086,HOLD
-0.094833,-0.144598,-0.182144,-0.137815,0.321319,HOLD
-0.131078,0.040757,-0.181277,0.106422,0.71586,HOLD
0.112031,0.104954,0.112715,0.163057,0.14454,HOLD
0.164189,0.167342,0.148272,0.177215,-0.330229,HOLD
0.184521,0.156492,0.202908,0.173676,-0.133306,HOLD
0.175681,0.155587,0.163015,0.150668,1.54384,HOLD
0.154464,0.178192,0.126591,0.147128,1.898094,HOLD
0.14916,0.122133,0.149139,0.135624,1.254186,HOLD
0.135015,0.087774,-0.013034,0.01793,0.506781,HOLD
0.020975,0.067883,0.046806,-0.012157,-0.262505,HOLD
-0.008198,-0.030672,-0.004361,-0.081181,-0.214576,HOLD
-0.07892,-0.00626,-0.013901,0.02324,-0.299666,HOLD
0.028048,-0.020726,0.053743,0.01793,-0.195127,HOLD
0.018323,-0.011685,0.084964,0.053327,-0.792495,HOLD
0.013019,0.031716,0.077159,0.087839,-1.443697,HOLD
0.08993,0.012728,0.087566,0.020585,-1.28845,HOLD
0.018323,-0.02796,0.074557,0.040938,-1.066868,HOLD
0.044844,-0.024343,0.076291,0.037398,-0.356278,HOLD
0.03954,-0.016205,0.067619,0.005541,-0.206241,HOLD
0.007715,-0.026151,0.016452,0.040053,-0.301056,HOLD
0.04396,-0.000835,0.108379,0.056867,-0.672674,HOLD
0.062525,0.091391,0.135263,0.1312,-0.657046,HOLD
0.134131,0.106762,0.184696,0.156862,-0.645584,HOLD
0.160652,0.122133,0.159546,0.138279,-0.622315,HOLD
0.141204,0.109475,0.109246,0.109962,-0.114899,HOLD
0.112031,0.252334,0.18036,0.316148,0.068132,HOLD
0.317126,0.331901,0.367682,0.370128,-0.266325,HOLD
0.371936,0.312009,0.274888,0.23916,-0.154839,HOLD
0.241099,0.254142,0.294835,0.253318,-0.267714,HOLD
0.257012,0.252334,0.2931,0.262168,0.199067,HOLD
0.259664,0.349985,0.313046,0.384286,0.600554,HOLD
0.383428,0.590495,0.365948,0.39402,3.87323,HOLD
0.394921,0.507311,0.400637,0.465699,1.760213,HOLD
0.469179,0.471144,0.464812,0.509945,0.82422,HOLD
0.515149,0.469335,0.488228,0.462159,-0.165953,HOLD
0.467411,0.411468,0.450937,0.382516,-0.553548,HOLD
0.385196,0.373493,0.39977,0.421453,-0.277786,HOLD
0.419674,0.427743,0.470016,0.474548,-0.459428,HOLD
0.47802,0.494652,0.461344,0.4011,-1.390211,HOLD
0.405529,0.434977,0.409309,0.379862,-1.096042,HOLD
0.384312,0.340943,0.389363,0.398445,-0.282996,HOLD
0.401109,0.361739,0.301772,0.309953,-0.249307,HOLD
0.310938,0.288501,0.339931,0.317032,-0.323631,HOLD
0.317126,0.264992,0.335595,0.323227,-0.312517,HOLD
0.325966,0.275842,0.379824,0.329421,-0.617453,HOLD
0.327734,0.255951,0.362479,0.297564,-0.484087,HOLD
0.299445,0.301159,0.353806,0.318802,-0.377463,HOLD
0.319778,0.283076,0.298303,0.248894,-0.115941,HOLD
0.248172,0.193563,0.246269,0.200223,-0.331966,HOLD
0.202202,0.14745,0.163015,0.118811,-0.532362,HOLD
0.117335,0.122133,0.169953,0.138279,-0.65774,HOLD
0.142088,0.142025,0.13006,0.201108,-0.653225,HOLD
0.205738,0.174575,0.226323,0.23208,-0.314948,HOLD
0.234027,0.324668,0.286162,0.334731,0.269223,HOLD
0.334807,0.321051,0.347736,0.299334,0.391128,HOLD
0.302982,0.279459,0.298303,0.247124,0.434888,HOLD
0.253476,0.2234,0.27749,0.262168,-0.203462,HOLD
0.262316,0.261376,0.298303,0.294025,-0.742483,HOLD
0.295909,0.261376,0.296569,0.248009,-0.554243,HOLD
0.24994,0.204413,0.274021,0.203763,-0.742136,HOLD
0.201318,0.156492,0.2428,0.224116,-0.7984,HOLD
0.226955,0.152875,0.258411,0.209072,-1.081455,HOLD
0.202202,0.210742,0.206377,0.249779,-1.249899,HOLD
0.242867,0.16915,0.215916,0.161287,-0.943574,HOLD
0.16242,0.152875,0.189032,0.223231,-0.95052,HOLD
0.225187,0.174575,0.248004,0.203763,-0.442062,HOLD
0.204854,0.185425,0.251473,0.206418,-0.385104,HOLD
0.207506,0.16915,0.268818,0.225001,-0.701154,HOLD
0.226955,0.183617,0.290498,0.251549,-0.81646,HOLD
0.251708,0.181808,0.269685,0.225001,-0.675106,HOLD
0.226071,0.261376,0.297436,0.307298,-0.598351,HOLD
0.302982,0.283076,0.344267,0.318802,-0.350026,HOLD
0.325082,0.384343,0.372886,0.334731,-0.022168,HOLD
0.336575,0.445827,0.404106,0.476318,-0.420877,HOLD
0.472716,0.48561,0.50644,0.45508,0.080288,HOLD
0.455919,0.404235,0.398035,0.340925,-0.143725,HOLD
0.340111,0.303872,0.323453,0.309953,-0.151714,HOLD
0.31359,0.244196,0.202908,0.173676,0.184827,HOLD
0.175681,0.1583,0.150874,0.089609,0.32757,HOLD
0.087278,0.088679,0.063283,0.055982,1.314965,HOLD
0.058989,0.110379,0.112715,0.166596,0.61271,HOLD
0.170377,0.096816,0.133529,0.068371,-0.352804,HOLD
0.071365,0.037141,0.090167,0.056867,-0.424002,HOLD
0.055453,0.002782,0.065885,0.053327,-0.629608,HOLD
0.053685,0.024482,0.082362,0.099343,-0.830699,HOLD
0.101422,0.047087,0.1396,0.086069,-0.808819,HOLD
0.131479,0.056128,0.122255,0.076335,-1.248857,HOLD
0.071365,0.045278,0.082362,0.028549,-1.26657,HOLD
